source ID,source name,source ref,source type,mapping type,target ID,target name,target ref,target type,mapping description,STIX ID,created,last modified,ID_group,name_group,ID_technique,name_technique
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1105,Ingress Tool Transfer,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,technique,[APT-C-36](https://attack.mitre.org/groups/G0099) has downloaded binary data from a specified domain after the malicious document is opened.(Citation: QiAnXin APT-C-36 Feb2019),relationship--c3bedbae-b1e1-4a35-8c59-d181dca093e4,7-May-20,14-Oct-20,G0099,APT-C-36,T1105,Ingress Tool Transfer
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1204.002,Malicious File,attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,technique,[APT-C-36](https://attack.mitre.org/groups/G0099) has prompted victims to accept macros in order to execute the subsequent payload.(Citation: QiAnXin APT-C-36 Feb2019),relationship--20599767-204a-4cbf-ada7-0f931ee925e4,5-May-20,14-Oct-20,G0099,APT-C-36,T1204.002,User Execution: Malicious File
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1036.004,Masquerade Task or Service,attack-pattern--7bdca9d5-d500-4d7d-8c52-5fd47baf4c0c,technique,[APT-C-36](https://attack.mitre.org/groups/G0099) has disguised its scheduled tasks as those used by Google.(Citation: QiAnXin APT-C-36 Feb2019),relationship--5cabd775-7d78-4150-b529-bb8cfb747013,7-May-20,14-Oct-20,G0099,APT-C-36,T1036.004,Masquerading: Masquerade Task or Service
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1571,Non-Standard Port,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18,technique,[APT-C-36](https://attack.mitre.org/groups/G0099) has used port 4050 for C2 communications.(Citation: QiAnXin APT-C-36 Feb2019),relationship--db0f9f05-6f76-47c3-81bf-a59d85045188,5-May-20,14-Oct-20,G0099,APT-C-36,T1571,Non-Standard Port
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1027,Obfuscated Files or Information,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,technique,"[APT-C-36](https://attack.mitre.org/groups/G0099) has used ConfuserEx to obfuscate its variant of [Imminent Monitor](https://attack.mitre.org/software/S0434), compressed payload and RAT packages, and password protected encrypted email attachments to avoid detection.(Citation: QiAnXin APT-C-36 Feb2019)",relationship--7b4b8d0b-fbc3-469a-ab62-72c5c4c4653d,5-May-20,14-Oct-20,G0099,APT-C-36,T1027,Obfuscated Files or Information
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1053.005,Scheduled Task,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,technique,"[APT-C-36](https://attack.mitre.org/groups/G0099) has used a macro function to set scheduled tasks, disguised as those used by Google.(Citation: QiAnXin APT-C-36 Feb2019)",relationship--aa5d5fcd-db19-4593-a958-b09853ceb372,5-May-20,14-Oct-20,G0099,APT-C-36,T1053.005,Scheduled Task/Job: Scheduled Task
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1566.001,Spearphishing Attachment,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597,technique,[APT-C-36](https://attack.mitre.org/groups/G0099) has used spearphishing emails with password protected RAR attachment to avoid being detected by the email gateway.(Citation: QiAnXin APT-C-36 Feb2019) ,relationship--ee00cd55-254b-4780-be47-e0f78a327c93,5-May-20,14-Oct-20,G0099,APT-C-36,T1566.001,Phishing: Spearphishing Attachment
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1588.002,Tool,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0,technique,[APT-C-36](https://attack.mitre.org/groups/G0099) obtained and used a modified variant of [Imminent Monitor](https://attack.mitre.org/software/S0434).(Citation: QiAnXin APT-C-36 Feb2019),relationship--6c89f28c-963b-44ef-8dda-5916aa17b7e9,26-May-21,26-May-21,G0099,APT-C-36,T1588.002,Obtain Capabilities: Tool
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1059.005,Visual Basic,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67,technique,[APT-C-36](https://attack.mitre.org/groups/G0099) has embedded a VBScript within a malicious Word document which is executed upon the document opening.(Citation: QiAnXin APT-C-36 Feb2019),relationship--d4922804-7216-4e83-b0c0-6e61b09d5fc0,7-May-20,14-Oct-20,G0099,APT-C-36,T1059.005,Command and Scripting Interpreter: Visual Basic
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1560.001,Archive via Utility,attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,technique,[APT1](https://attack.mitre.org/groups/G0006) has used RAR to compress files before moving them outside of the victim network.(Citation: Mandiant APT1),relationship--43c34939-8236-4ddd-8def-0eb7b5fe62cf,31-May-17,30-Mar-20,G0006,APT1,T1560.001,Archive Collected Data: Archive via Utility
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1119,Automated Collection,attack-pattern--30208d3e-0d6b-43c8-883e-44462a514619,technique,[APT1](https://attack.mitre.org/groups/G0006) used a batch script to perform a series of discovery techniques and saves it to a text file.(Citation: Mandiant APT1),relationship--4c2924c1-dec5-4390-87d7-c52e24a92512,30-Jan-19,20-Aug-19,G0006,APT1,T1119,Automated Collection
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1005,Data from Local System,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,technique,[APT1](https://attack.mitre.org/groups/G0006) has collected files from a local victim.(Citation: Mandiant APT1),relationship--38a72b32-dc04-493d-8b92-31174c32f3ed,31-May-17,20-Aug-19,G0006,APT1,T1005,Data from Local System
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1583.001,Domains,attack-pattern--40f5caa0-4cb7-4117-89fc-d421bb493df3,technique,[APT1](https://attack.mitre.org/groups/G0006) has registered hundreds of domains for use in operations.(Citation: Mandiant APT1),relationship--40e49390-e8a5-4d91-8ec9-d05fb3b71149,2-Oct-20,2-Oct-20,G0006,APT1,T1583.001,Acquire Infrastructure: Domains
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1584.001,Domains,attack-pattern--f9cc4d06-775f-4ee1-b401-4e2cc0da30ba,technique,[APT1](https://attack.mitre.org/groups/G0006) hijacked FQDNs associated with legitimate websites hosted by hop points.(Citation: Mandiant APT1),relationship--c1c2c530-a2d2-4c2f-bcff-ceda0277de59,13-Oct-20,13-Oct-20,G0006,APT1,T1584.001,Compromise Infrastructure: Domains
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1585.002,Email Accounts,attack-pattern--65013dd2-bc61-43e3-afb5-a14c4fa7437a,technique,"[APT1](https://attack.mitre.org/groups/G0006) has created email accounts for later use in social engineering, phishing, and when registering domains.(Citation: Mandiant APT1)",relationship--9b14bfc1-2c78-4ec9-ad02-aeed6f1cf83e,14-Oct-20,14-Oct-20,G0006,APT1,T1585.002,Establish Accounts: Email Accounts
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1003.001,LSASS Memory,attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90,technique,[APT1](https://attack.mitre.org/groups/G0006) has been known to use credential dumping using [Mimikatz](https://attack.mitre.org/software/S0002).(Citation: Mandiant APT1),relationship--28b27852-4125-4639-a07b-0b97dfdb650a,31-May-17,19-Mar-20,G0006,APT1,T1003.001,OS Credential Dumping: LSASS Memory
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1087.001,Local Account,attack-pattern--25659dd6-ea12-45c4-97e6-381e3e4b593e,technique,"[APT1](https://attack.mitre.org/groups/G0006) used the commands <code>net localgroup</code>,<code>net user</code>, and <code>net group</code> to find accounts on the system.(Citation: Mandiant APT1)",relationship--d014d8e1-b12e-4b85-84ee-ff4338c54393,30-Jan-19,18-Mar-20,G0006,APT1,T1087.001,Account Discovery: Local Account
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1114.001,Local Email Collection,attack-pattern--1e9eb839-294b-48cc-b0d3-c45555a2a004,technique,"[APT1](https://attack.mitre.org/groups/G0006) uses two utilities, GETMAIL and MAPIGET, to steal email. GETMAIL extracts emails from archived Outlook .pst files.(Citation: Mandiant APT1)",relationship--757bed64-558b-4ea7-84b9-b82d8b23f9b2,31-May-17,17-Mar-20,G0006,APT1,T1114.001,Email Collection: Local Email Collection
